frm,to,total
0xf8b67009f8d7bab795b15f08ccbf824ca7c12eb5,0xdac17f958d2ee523a2206206994597c13d831ec7,0.010042150062
0x7f6fd88068b58c95b0a2181a8e93f26568a86c03,0xeaf05b04c35d21a1273fd88ed6ada8b5eaa54439,0.07586816
0x46705dfff24256421a05d056c29e81bdc09723b8,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0049
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0049
0xdff2beb0ad71b9c4856cc77550f24c7760c299e2,0x68e54af74b22acaccffa04ccaad13be16ed14eac,0.002275
0xfdb16996831753d5331ff813c29a93c76834a0ad,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0049
0x5c985e89dde482efe97ea9f1950ad149eb73829b,0x6f259637dcd74c767781e37bc6133cd6a68aa161,0.0037975
0x8babf0ba311aab914c00e8fda7e8558a8b66de5d,0x68e54af74b22acaccffa04ccaad13be16ed14eac,0.00442
